item,pred,ext
http://www.wikidata.org/entity/Q18325460,http://www.wikidata.org/prop/direct/P2888,https://schema.org/Nonprofit501c6
http://www.wikidata.org/entity/Q18325483,http://www.wikidata.org/prop/direct/P2888,https://schema.org/Nonprofit501c4
http://www.wikidata.org/entity/Q184644,http://www.wikidata.org/prop/direct/P1709,http://data.culture.fr/thesaurus/resource/ark:/67717/T1-704
http://www.wikidata.org/entity/Q185351,http://www.wikidata.org/prop/direct/P2888,https://thelawdictionary.org/jurist/
http://www.wikidata.org/entity/Q188094,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Economist
http://www.wikidata.org/entity/Q188830,http://www.wikidata.org/prop/direct/P1709,http://pcp-on-web.de/ontology#Wife
http://www.wikidata.org/entity/Q188913,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_00000117
http://www.wikidata.org/entity/Q189010,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Notary
http://www.wikidata.org/entity/Q189290,http://www.wikidata.org/prop/direct/P2888,http://wordnet-rdf.princeton.edu/wn30/10317007-n
http://www.wikidata.org/entity/Q189290,http://www.wikidata.org/prop/direct/P2888,http://wordnet-rdf.princeton.edu/wn31/110251362-n
http://www.wikidata.org/entity/Q1906854,http://www.wikidata.org/prop/direct/P2888,https://www.wikidata.org/wiki/Q1906854
http://www.wikidata.org/entity/Q191808,http://www.wikidata.org/prop/direct/P1709,http://dbpedia/ontology/Religious
http://www.wikidata.org/entity/Q1930187,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Journalist
http://www.wikidata.org/entity/Q194195,http://www.wikidata.org/prop/direct/P1709,https://schema.org/AmusementPark
http://www.wikidata.org/entity/Q19546,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Pope
http://www.wikidata.org/entity/Q19730508,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/FormerMunicipality
http://www.wikidata.org/entity/Q1986893,http://www.wikidata.org/prop/direct/P1709,http://www.w3.org/2006/vcard/ns#Neighbor
http://www.wikidata.org/entity/Q19924411,http://www.wikidata.org/prop/direct/P2888,http://cat.aii.caas.cn/concept/27615
http://www.wikidata.org/entity/Q1996635,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Optician
http://www.wikidata.org/entity/Q200764,http://www.wikidata.org/prop/direct/P1709,https://schema.org/BookStore
http://www.wikidata.org/entity/Q200764,http://www.wikidata.org/prop/direct/P2888,http://wordnet-rdf.princeton.edu/wn30/02871525-n
http://www.wikidata.org/entity/Q200764,http://www.wikidata.org/prop/direct/P2888,http://wordnet-rdf.princeton.edu/wn31/102866695-n
http://www.wikidata.org/entity/Q20204892,http://www.wikidata.org/prop/direct/P2888,https://schema.org/contributor
http://www.wikidata.org/entity/Q202216,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/OverseasDepartment
http://www.wikidata.org/entity/Q202691,http://www.wikidata.org/prop/direct/P2888,http://www.treccani.it/enciclopedia/doge_(Dizionario-di-Storia)/
http://www.wikidata.org/entity/Q2085381,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Publisher
http://www.wikidata.org/entity/Q2088357,http://www.wikidata.org/prop/direct/P1709,http://id.loc.gov/ontologies/bibframe/MusicEnsemble
http://www.wikidata.org/entity/Q2088357,http://www.wikidata.org/prop/direct/P1709,http://performedmusicontology.org/ontology/EnsembleMediumOfPerformance
http://www.wikidata.org/entity/Q20950067,http://www.wikidata.org/prop/direct/P1709,https://schema.org/ElementarySchool
http://www.wikidata.org/entity/Q2097994,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/resource/Municipal_corporation
